data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396
D00049	1.0	0.26667	0.11667	0.10638	0.4	0.09231	0.26	0.27083	0.30233	0.28	0.12281	0.25	0.22414	0.12727	0.22	0.36667	0.52174	0.27907	0.22581	0.26531	0.19048	0.27778	0.28571	0.40741	0.11111	0.14894	0.18421	0.26316	0.23636	0.17808	0.30233	0.23077	0.3871	0.28125	0.375	0.19355	0.46429	0.18841	0.19512	0.12281	0.19512	0.25532	0.23913	0.25	0.17073	0.10569	0.08333	0.35135	0.25714	0.325	0.25	0.37931	0.21622	0.26667	0.15556	0.2069	0.23077	0.26087	0.41379	0.33333	0.21053	0.21053	0.23636	0.21818	0.12	0.22581	0.28571	0.27083	0.21429	0.23333	0.21429	0.36667	0.41379	0.32353	0.15294	0.17391	0.44444	0.13115	0.23404	0.25532	0.19355	0.30556	0.18571	0.25532	0.2381	0.2766	0.22034	0.18605	0.29545	0.29167	0.26923	0.08974	0.16901	0.18571	0.21667	0.17391	0.21667	0.3871	0.08955	0.06306	0.26531	0.24	0.33333	0.09836	0.23529	0.1625	0.16667	0.18841	0.09231	0.23529	0.16438	0.37037	0.22222	0.19444	0.2	0.2766	0.24242	0.21667	0.26471	0.11111	0.22222	0.19697	0.1791	0.18333	0.20313	0.22222	0.28261	0.22857	0.22222	0.2549	0.09211	0.3125	0.37931	0.40741	0.17808	0.1875	0.16216	0.17391	0.24	0.15556	0.2069	0.2619	0.3	0.17143	0.16667	0.28947	0.25	0.25	0.1791	0.15789	0.15116	0.22414	0.20755	0.16883	0.12632	0.1791	0.22414	0.25	0.20635	0.37931	0.23636	0.35484	0.13924	0.13725	0.09353	0.14815	0.04762	0.28889	0.3	0.25	0.33333	0.21277	0.17949	0.19231	0.2	0.25926	0.26829	0.30769	0.2973	0.32258	0.25926	0.17647	0.27027	0.17949	0.08696	0.15584	0.20513	0.27027	0.25	0.10909	0.10769	0.21538	0.20968	0.45	0.11712	0.05909	0.31429	0.26667	0.33333	0.325	0.21429	0.33333	0.32353	0.09322	0.20313	0.1087	0.25	0.1831	0.23529	0.45833	0.37931	0.2549	0.25806	0.11475	0.22449	0.20339	0.10526	0.04762	0.16049	0.31579	0.28571	0.2973	0.22857
D00059	0.26667	1.0	0.33333	0.2766	0.6	0.29231	0.28	0.3125	0.32558	0.26667	0.35088	0.25	0.31034	0.18182	0.22	0.26667	0.36667	0.2093	0.22581	0.36735	0.3	0.27778	0.26667	0.33333	0.19658	0.23404	0.26316	0.33333	0.30909	0.21918	0.25581	0.33333	0.29032	0.21875	0.34375	0.32258	0.26667	0.28986	0.26829	0.26316	0.43902	0.23404	0.30435	0.30769	0.41463	0.18699	0.20238	0.2973	0.22857	0.25	0.3125	0.16667	0.2973	0.3	0.42222	0.26667	0.28205	0.32609	0.16667	0.4	0.24561	0.29825	0.21818	0.25455	0.4	0.32258	0.3	0.29167	0.26667	0.1	0.25	0.3	0.23333	0.26471	0.28235	0.3	0.16667	0.18033	0.29787	0.31915	0.29032	0.44444	0.25714	0.19149	0.45238	0.2766	0.28814	0.4186	0.29545	0.20833	0.23077	0.25641	0.32394	0.3	0.25	0.30435	0.26667	0.29032	0.17164	0.17117	0.2449	0.3	0.16667	0.19672	0.23529	0.2375	0.40476	0.23188	0.26154	0.35294	0.23288	0.53333	0.46667	0.33333	0.46	0.19149	0.27273	0.2	0.20588	0.53333	0.31111	0.24242	0.20896	0.23333	0.15625	0.22222	0.26087	0.17143	0.2037	0.31373	0.27632	0.28125	0.36667	0.4	0.21918	0.28125	0.2027	0.18841	0.24	0.33333	0.32759	0.28571	0.2	0.28571	0.25926	0.21053	0.45	0.25	0.29851	0.30263	0.23256	0.37931	0.37736	0.24675	0.24211	0.32836	0.25862	0.32143	0.31746	0.33333	0.36364	0.41935	0.17722	0.13725	0.16547	0.26667	0.3	0.2	0.475	0.25	0.33333	0.31915	0.20513	0.30769	0.28333	0.4	0.56098	0.25641	0.40541	0.29032	0.23333	0.33824	0.35135	0.38462	0.27536	0.27273	0.30769	0.2973	0.33333	0.21818	0.27692	0.27692	0.27419	0.26667	0.17117	0.13182	0.31429	0.2	0.26667	0.325	0.33929	0.21212	0.41176	0.20339	0.375	0.41304	0.23333	0.28169	0.39216	0.23333	0.36667	0.2549	0.25806	0.2459	0.38776	0.30508	0.26316	0.26667	0.19753	0.21053	0.28571	0.21622	0.2
D00079	0.11667	0.33333	1.0	0.41667	0.3	0.78462	0.33333	0.4	0.21667	0.11667	0.95	0.1	0.18333	0.33333	0.11667	0.26667	0.21667	0.18333	0.13333	0.18333	0.13333	0.16667	0.23333	0.15	0.28205	0.41667	0.21667	0.26667	0.23333	0.50685	0.2	0.18333	0.25	0.18333	0.21667	0.32258	0.18333	0.14493	0.26667	0.81667	0.3	0.2	0.35	0.23333	0.3	0.28455	0.40476	0.21667	0.18333	0.33333	0.13333	0.2	0.16667	0.13333	0.4	0.33333	0.16667	0.21667	0.2	0.23333	0.15	0.18333	0.08333	0.16667	0.26667	0.33333	0.18333	0.3	0.13333	0.21667	0.13333	0.15	0.25	0.28333	0.31765	0.13333	0.18333	0.2459	0.15	0.16667	0.1129	0.25	0.28571	0.2	0.26667	0.2	0.21667	0.3	0.23333	0.18333	0.26667	0.71795	0.21127	0.21429	0.16667	0.21739	0.31667	0.23333	0.23881	0.36036	0.2	0.13333	0.25	0.35246	0.16667	0.3625	0.33333	0.27536	0.43077	0.23333	0.32877	0.3	0.21667	0.25	0.3	0.18333	0.33333	0.16667	0.16667	0.31667	0.2	0.12121	0.08955	0.1	0.25	0.18333	0.18333	0.16667	0.21667	0.13333	0.76316	0.13333	0.26667	0.23333	0.13699	0.26667	0.2973	0.2029	0.15	0.23333	0.15	0.23333	0.1	0.34286	0.11667	0.18333	0.26667	0.15	0.38806	0.36842	0.47674	0.25	0.25	0.25974	0.4	0.22388	0.3	0.2	0.25397	0.25	0.3	0.28333	0.18987	0.28333	0.26619	0.35	0.28333	0.23333	0.36667	0.16667	0.28333	0.28333	0.16667	0.2	0.33333	0.26667	0.35	0.2	0.28333	0.18333	0.16667	0.41176	0.25	0.21667	0.72464	0.41558	0.3	0.26667	0.26667	0.38182	0.8	0.23077	0.09677	0.18333	0.20721	0.25455	0.28333	0.23333	0.18333	0.18333	0.18333	0.18333	0.26667	0.38983	0.25	0.5	0.25	0.1831	0.38333	0.15	0.26667	0.36667	0.15	0.29508	0.28333	0.18333	0.33333	0.35	0.17284	0.23333	0.21667	0.28333	0.28333
D00094	0.10638	0.2766	0.41667	1.0	0.23404	0.41538	0.22	0.22917	0.21277	0.08511	0.36842	0.17021	0.2069	0.25455	0.16	0.34043	0.21277	0.17021	0.19149	0.20408	0.14894	0.17021	0.25532	0.19149	0.20513	0.25532	0.34043	0.29787	0.29091	0.28767	0.23404	0.17021	0.25532	0.25532	0.23404	0.30645	0.19149	0.27536	0.25532	0.35088	0.38298	0.21277	0.2766	0.38462	0.38298	0.27642	0.30952	0.23404	0.21277	0.31915	0.17021	0.21277	0.19149	0.19149	0.23404	0.42553	0.19149	0.21277	0.21277	0.19149	0.21053	0.26316	0.12727	0.2	0.29787	0.2766	0.21277	0.27083	0.17021	0.21277	0.21429	0.19149	0.2766	0.29787	0.30588	0.14894	0.19149	0.31148	0.19149	0.17021	0.17742	0.2766	0.32857	0.14894	0.25532	0.23404	0.32203	0.3617	0.21277	0.14583	0.23077	0.35897	0.32394	0.25714	0.2	0.31884	0.28333	0.2766	0.24627	0.21622	0.16327	0.12766	0.38298	0.22951	0.19149	0.2625	0.21277	0.28986	0.29231	0.2549	0.24658	0.23404	0.23404	0.31915	0.32	0.23404	0.34043	0.21667	0.21277	0.34043	0.19149	0.19697	0.13433	0.16667	0.25	0.29787	0.10638	0.23404	0.35185	0.17647	0.35526	0.19149	0.17021	0.29787	0.20548	0.29787	0.28378	0.24638	0.2	0.2766	0.18966	0.19149	0.14894	0.28571	0.16667	0.23404	0.29787	0.21277	0.34328	0.31579	0.30233	0.27586	0.16981	0.28571	0.28421	0.29851	0.25862	0.19643	0.33333	0.34043	0.29091	0.2766	0.24051	0.27451	0.2518	0.3617	0.2766	0.25532	0.38298	0.21277	0.38298	0.38298	0.23404	0.34615	0.26667	0.29787	0.21277	0.25532	0.38298	0.23404	0.21277	0.33824	0.19149	0.2766	0.4058	0.32468	0.21277	0.2766	0.22917	0.24545	0.35385	0.4	0.20968	0.12766	0.16216	0.17727	0.29787	0.25532	0.21277	0.21277	0.19643	0.2766	0.31915	0.23729	0.28125	0.2766	0.17021	0.19718	0.33333	0.17021	0.34043	0.2549	0.17021	0.2459	0.34694	0.22034	0.2807	0.44681	0.19753	0.2766	0.29787	0.21277	0.25532
D00095	0.4	0.6	0.3	0.23404	1.0	0.26154	0.28	0.33333	0.39535	0.28	0.31579	0.33333	0.34483	0.18182	0.28	0.5	0.52	0.30233	0.41935	0.36735	0.2	0.36111	0.25	0.44444	0.19658	0.29787	0.31579	0.32	0.29091	0.24658	0.30233	0.30769	0.41935	0.34375	0.34375	0.24194	0.5	0.24638	0.34146	0.24561	0.29268	0.31915	0.41304	0.30769	0.26829	0.1626	0.17857	0.37838	0.37143	0.3	0.25	0.41379	0.35135	0.26667	0.35556	0.31034	0.33333	0.32609	0.41379	0.43333	0.26316	0.2807	0.25455	0.30909	0.2	0.35484	0.42857	0.27083	0.28	0.33333	0.28571	0.43333	0.41379	0.44118	0.27059	0.16	0.37037	0.19672	0.2766	0.34043	0.27419	0.52778	0.25714	0.21277	0.45238	0.34043	0.35593	0.27907	0.31818	0.27083	0.30769	0.20513	0.29577	0.25714	0.23333	0.28986	0.31667	0.54839	0.15672	0.14414	0.32653	0.16	0.25	0.17213	0.38235	0.2625	0.38095	0.24638	0.21538	0.31373	0.23288	0.92593	0.37037	0.25	0.42	0.23404	0.27273	0.3	0.32353	0.37037	0.28889	0.24242	0.23881	0.23333	0.23438	0.31111	0.34783	0.31429	0.27778	0.33333	0.23684	0.40625	0.48276	0.7037	0.24658	0.34375	0.22973	0.21739	0.22	0.26667	0.32759	0.33333	0.33333	0.3	0.27778	0.21053	0.375	0.30556	0.28358	0.26316	0.22093	0.2931	0.35849	0.24675	0.23158	0.31343	0.2931	0.30357	0.25397	0.68966	0.45455	0.80645	0.16456	0.13725	0.14388	0.22222	0.36	0.33333	0.35	0.38889	0.48485	0.3617	0.25641	0.36538	0.3	0.2963	0.46341	0.30769	0.48649	0.41935	0.25926	0.27941	0.59459	0.30769	0.24638	0.25974	0.38462	0.37838	0.375	0.19091	0.27692	0.30769	0.27419	0.48	0.15315	0.11364	0.42857	0.23333	0.43333	0.4	0.33929	0.39394	0.55882	0.16102	0.35938	0.32609	0.32143	0.29577	0.31373	0.32	0.72414	0.35294	0.35484	0.2459	0.32653	0.25424	0.26316	0.28	0.22222	0.21053	0.30952	0.37838	0.22857
D00106	0.09231	0.29231	0.78462	0.41538	0.26154	1.0	0.36923	0.36923	0.23077	0.10769	0.76923	0.09231	0.21538	0.38462	0.13846	0.24615	0.18462	0.2	0.16923	0.18462	0.12308	0.18462	0.23077	0.15385	0.25641	0.4	0.2	0.23077	0.2	0.52055	0.21538	0.16923	0.2	0.2	0.18462	0.29231	0.15385	0.14493	0.26154	0.64615	0.29231	0.2	0.36923	0.27692	0.29231	0.29268	0.39286	0.21538	0.2	0.27692	0.16923	0.18462	0.16923	0.16923	0.36923	0.26154	0.16923	0.23077	0.21538	0.23077	0.16923	0.2	0.07692	0.2	0.26154	0.33846	0.15385	0.24615	0.12308	0.23077	0.18462	0.13846	0.2	0.26154	0.30588	0.12308	0.13846	0.24615	0.15385	0.2	0.13846	0.23077	0.27143	0.2	0.29231	0.23077	0.27692	0.29231	0.23077	0.16923	0.26154	0.65385	0.19718	0.17143	0.13846	0.18841	0.27692	0.2	0.24627	0.3964	0.24615	0.10769	0.24615	0.33607	0.18462	0.325	0.29231	0.18841	0.4	0.21538	0.36986	0.26154	0.2	0.24615	0.30769	0.2	0.27692	0.23077	0.16923	0.29231	0.18462	0.06061	0.04478	0.12308	0.23077	0.2	0.16923	0.16923	0.2	0.15385	0.69737	0.12308	0.24615	0.21538	0.12329	0.24615	0.32432	0.21739	0.2	0.23077	0.18462	0.24615	0.10769	0.3	0.15385	0.18462	0.23077	0.15385	0.43284	0.36842	0.48837	0.23077	0.21538	0.19481	0.37895	0.19403	0.32308	0.24615	0.21538	0.23077	0.35385	0.27692	0.16456	0.23077	0.27338	0.33846	0.26154	0.23077	0.32308	0.18462	0.27692	0.27692	0.15385	0.21538	0.43077	0.24615	0.32308	0.2	0.27692	0.16923	0.15385	0.36765	0.27692	0.26154	0.92754	0.45455	0.30769	0.24615	0.24615	0.36364	0.61538	0.18462	0.10769	0.16923	0.1982	0.25455	0.26154	0.23077	0.16923	0.16923	0.18462	0.16923	0.23077	0.41525	0.21538	0.49231	0.21538	0.15493	0.33846	0.13846	0.24615	0.33846	0.13846	0.33846	0.27692	0.24615	0.33846	0.32308	0.18519	0.21538	0.24615	0.27692	0.23077
D00110	0.26	0.28	0.33333	0.22	0.28	0.36923	1.0	0.52	0.26	0.22	0.29825	0.2	0.17241	0.4	0.18	0.32	0.3	0.26	0.24	0.32	0.12	0.26	0.22	0.32	0.34188	0.32	0.26	0.22	0.21818	0.46575	0.32	0.24	0.34	0.32	0.36	0.17742	0.28	0.28986	0.42	0.36842	0.18	0.26	0.28	0.25	0.18	0.22764	0.39286	0.32	0.2	0.36	0.22	0.3	0.18	0.26	0.3	0.3	0.22	0.34	0.26	0.38	0.2807	0.38596	0.18182	0.23636	0.22	0.36	0.24	0.28	0.14	0.28	0.21429	0.28	0.36	0.26	0.31765	0.12	0.26	0.2459	0.32	0.28	0.27419	0.2	0.3	0.28	0.34	0.32	0.45763	0.16	0.24	0.32	0.23077	0.30769	0.28169	0.37143	0.26667	0.27536	0.41667	0.3	0.22388	0.31532	0.36	0.18	0.4	0.30328	0.24	0.2625	0.44	0.33333	0.30769	0.13725	0.46575	0.28	0.24	0.22	0.26	0.32	0.3	0.41667	0.26	0.28	0.24	0.25758	0.20896	0.28333	0.34375	0.3	0.22	0.32	0.37037	0.37255	0.32895	0.3	0.48	0.24	0.30137	0.2	0.36486	0.24638	0.2	0.22	0.43103	0.22	0.28	0.37143	0.16667	0.28	0.26	0.28	0.49254	0.38158	0.45349	0.31034	0.43396	0.31169	0.33684	0.28358	0.5	0.30357	0.36508	0.26	0.34545	0.32	0.24051	0.2549	0.21583	0.36	0.28	0.38	0.3	0.22	0.32	0.28	0.22	0.23077	0.45	0.28	0.34	0.28	0.34	0.34	0.26	0.36765	0.36	0.2	0.37681	0.42857	0.24	0.3	0.14	0.3	0.33846	0.36923	0.27419	0.36	0.21622	0.20909	0.24	0.2	0.3	0.4	0.42857	0.38	0.24	0.27966	0.32813	0.36	0.28	0.26761	0.23529	0.26	0.28	0.39216	0.24	0.29508	0.14	0.15254	0.35088	0.26	0.2716	0.34	0.32	0.24	0.2
D00113	0.27083	0.3125	0.4	0.22917	0.33333	0.36923	0.52	1.0	0.33333	0.1875	0.42105	0.22917	0.22414	0.34545	0.24	0.3125	0.33333	0.20833	0.25	0.26531	0.14583	0.35417	0.25	0.33333	0.41026	0.33333	0.25	0.27083	0.30909	0.42466	0.27083	0.33333	0.39583	0.3125	0.47917	0.16129	0.29167	0.34783	0.35417	0.35088	0.22917	0.25	0.27083	0.17308	0.22917	0.21138	0.34524	0.27083	0.27083	0.41667	0.14583	0.3125	0.22917	0.16667	0.27083	0.35417	0.1875	0.27083	0.22917	0.33333	0.33333	0.31579	0.16364	0.23636	0.29167	0.41667	0.3125	0.41667	0.16667	0.29167	0.28571	0.33333	0.375	0.29167	0.31765	0.14583	0.27083	0.2623	0.27083	0.1875	0.27419	0.22917	0.25714	0.3125	0.27083	0.27083	0.37288	0.1875	0.25	0.16667	0.17308	0.26923	0.29577	0.24286	0.31667	0.28986	0.56667	0.27083	0.22388	0.28829	0.36735	0.25	0.41667	0.2541	0.25	0.3	0.41667	0.27536	0.4	0.13725	0.35616	0.3125	0.25	0.22917	0.24	0.35417	0.3125	0.36667	0.27083	0.33333	0.22917	0.27273	0.19403	0.25	0.34375	0.33333	0.20833	0.35417	0.31481	0.29412	0.30263	0.3125	0.47917	0.27083	0.26027	0.25	0.28378	0.24638	0.32	0.20833	0.39655	0.25	0.25	0.4	0.24074	0.29167	0.16667	0.22917	0.40299	0.32895	0.36047	0.37931	0.4717	0.28571	0.31579	0.26866	0.7931	0.35714	0.30159	0.3125	0.4	0.35417	0.26582	0.19608	0.20144	0.35417	0.33333	0.29167	0.22917	0.27083	0.35417	0.33333	0.25	0.26923	0.4	0.3125	0.39583	0.27083	0.3125	0.35417	0.27083	0.39706	0.35417	0.22917	0.34783	0.36364	0.3125	0.35417	0.22917	0.28182	0.38462	0.38462	0.20968	0.39583	0.20721	0.20909	0.27083	0.20833	0.375	0.27083	0.39286	0.375	0.25	0.26271	0.32813	0.4375	0.27083	0.32394	0.2549	0.20833	0.3125	0.4902	0.22917	0.39344	0.20408	0.11864	0.4386	0.27083	0.22222	0.35417	0.22917	0.25	0.16667
D00136	0.30233	0.32558	0.21667	0.21277	0.39535	0.23077	0.26	0.33333	1.0	0.30233	0.22807	0.34884	0.2931	0.29091	0.46	0.44186	0.46512	0.34884	0.53488	0.61224	0.25581	0.51163	0.25581	0.53488	0.2906	0.25532	0.2093	0.27907	0.30909	0.27397	0.46512	0.2093	0.51163	0.53488	0.44186	0.25806	0.53488	0.33333	0.32558	0.24561	0.25581	0.42553	0.34783	0.28846	0.23256	0.26829	0.22619	0.32558	0.51163	0.53488	0.34884	0.4186	0.44186	0.34884	0.26667	0.32558	0.44186	0.41304	0.39535	0.34884	0.33333	0.33333	0.36364	0.43636	0.2093	0.2093	0.27907	0.41667	0.23256	0.25581	0.46429	0.48837	0.51163	0.4186	0.34118	0.23256	0.34884	0.2459	0.29787	0.38298	0.33871	0.51163	0.35714	0.29787	0.4186	0.40426	0.44068	0.23256	0.29545	0.3125	0.36538	0.21795	0.4507	0.35714	0.28333	0.42029	0.31667	0.46512	0.26866	0.20721	0.38776	0.27907	0.48837	0.21311	0.53488	0.275	0.23256	0.3913	0.26154	0.37255	0.30137	0.37209	0.30233	0.25581	0.26	0.31915	0.27907	0.35	0.46512	0.2093	0.33333	0.37879	0.38806	0.26667	0.32813	0.31111	0.43478	0.46512	0.33333	0.54902	0.22368	0.46512	0.32558	0.44186	0.39726	0.27907	0.32432	0.26087	0.38	0.24444	0.43103	0.2093	0.39535	0.44286	0.38889	0.30233	0.27907	0.46512	0.26866	0.27632	0.25581	0.37931	0.39623	0.41558	0.25263	0.46269	0.31034	0.33929	0.34921	0.46512	0.38182	0.39535	0.34177	0.17647	0.2518	0.2093	0.23256	0.37778	0.34884	0.5814	0.4186	0.29787	0.23256	0.40385	0.31667	0.32558	0.48837	0.30233	0.46512	0.48837	0.30233	0.27941	0.4186	0.39535	0.23188	0.23377	0.32558	0.30233	0.375	0.21818	0.24615	0.47692	0.46774	0.30233	0.24324	0.15	0.4186	0.23256	0.55814	0.37209	0.44643	0.5814	0.51163	0.17797	0.45313	0.23913	0.23256	0.42254	0.37255	0.30233	0.46512	0.37255	0.4186	0.2459	0.36735	0.32203	0.26316	0.25581	0.38272	0.34884	0.32558	0.39535	0.23256
D00139	0.28	0.26667	0.11667	0.08511	0.28	0.10769	0.22	0.1875	0.30233	1.0	0.12281	0.44444	0.32759	0.12727	0.36	0.33333	0.32	0.37209	0.54839	0.34694	0.28	0.33333	0.14286	0.2963	0.15385	0.19149	0.23684	0.08	0.30909	0.10959	0.32558	0.42308	0.25806	0.375	0.3125	0.24194	0.25	0.30435	0.36585	0.12281	0.17073	0.29787	0.28261	0.23077	0.14634	0.1626	0.14286	0.2973	0.4	0.125	0.4375	0.27586	0.32432	0.46667	0.24444	0.2069	0.33333	0.28261	0.27586	0.36667	0.22807	0.22807	0.32727	0.23636	0.0	0.25806	0.42857	0.14583	0.08	0.16667	0.26786	0.3	0.27586	0.26471	0.17647	0.24	0.18519	0.14754	0.3617	0.3617	0.33871	0.36111	0.21429	0.23404	0.30952	0.19149	0.22034	0.16279	0.25	0.39583	0.21154	0.08974	0.19718	0.25714	0.31667	0.2029	0.16667	0.25806	0.15672	0.07207	0.22449	0.28	0.16667	0.12295	0.5	0.125	0.2619	0.17391	0.12308	0.19608	0.17808	0.25926	0.33333	0.22222	0.3	0.21277	0.15152	0.18333	0.35294	0.07407	0.31111	0.28788	0.22388	0.26667	0.1875	0.28889	0.28261	0.37143	0.27778	0.33333	0.09211	0.28125	0.10345	0.25926	0.24658	0.21875	0.17568	0.15942	0.28	0.35556	0.25862	0.30952	0.26667	0.18571	0.27778	0.23684	0.45	0.27778	0.1791	0.14474	0.10465	0.25862	0.28302	0.19481	0.11579	0.20896	0.17241	0.21429	0.25397	0.27586	0.16364	0.25806	0.22785	0.09804	0.14388	0.07407	0.12	0.17778	0.225	0.47222	0.27273	0.23404	0.33333	0.28846	0.21667	0.2963	0.31707	0.35897	0.2973	0.29032	0.48148	0.14706	0.37838	0.38462	0.10145	0.15584	0.23077	0.35135	0.35417	0.12727	0.10769	0.21538	0.30645	0.28	0.18018	0.09545	0.25714	0.13333	0.26667	0.325	0.26786	0.27273	0.38235	0.12712	0.21875	0.15217	0.42857	0.26761	0.29412	0.16	0.27586	0.17647	0.32258	0.18033	0.40816	0.23729	0.22807	0.16	0.24691	0.23684	0.28571	0.35135	0.37143
