data	D00049	D00059	D00079	D00094	D00095	D00106	D00110	D00113	D00136	D00139	D00180	D00225	D00227	D00232	D00234	D00235	D00241	D00255	D00270	D00274	D00281	D00283	D00295	D00300	D00301	D00306	D00318	D00332	D00336	D00356	D00364	D00371	D00380	D00394	D00397	D00400	D00410	D00411	D00415	D00419	D00422	D00426	D00432	D00437	D00440	D00442	D00443	D00451	D00454	D00465	D00480	D00483	D00493	D00494	D00498	D00499	D00503	D00509	D00513	D00514	D00520	D00521	D00522	D00523	D00524	D00525	D00528	D00540	D00542	D00559	D00560	D00563	D00574	D00598	D00601	D00604	D00606	D00607	D00609	D00613	D00627	D00632	D00635	D00645	D00646	D00665	D00666	D00673	D00674	D00675	D00676	D00682	D00683	D00684	D00687	D00688	D00715	D00726	D00760	D00765	D00769	D00775	D00779	D00780	D00790	D00837	D00838	D00845	D00954	D00965	D00987	D00996	D01020	D01022	D01024	D01051	D01071	D01103	D01118	D01126	D01164	D01227	D01236	D01242	D01269	D01295	D01297	D01324	D01332	D01346	D01352	D01358	D01386	D01390	D01441	D01454	D01462	D01603	D01652	D01692	D01699	D01712	D01713	D01717	D01745	D01782	D01828	D01871	D01891	D01925	D01964	D01965	D01973	D01994	D02007	D02066	D02070	D02076	D02082	D02147	D02149	D02150	D02234	D02237	D02250	D02278	D02279	D02327	D02338	D02340	D02342	D02349	D02354	D02356	D02357	D02358	D02359	D02361	D02374	D02566	D02578	D02588	D02614	D02671	D02721	D02725	D02826	D02884	D02910	D03165	D03187	D03210	D03274	D03365	D03415	D03442	D03490	D03503	D03621	D03642	D03654	D03858	D03879	D03880	D03881	D03966	D04006	D04034	D04040	D04375	D04625	D04716	D04979	D05113	D05129	D05246	D05312	D05341	D05740	D05792	D05938	D06056	D06396	
D00049	1.00000	0.26667	0.11667	0.10638	0.40000	0.09231	0.26000	0.27083	0.29545	0.28000	0.12281	0.24324	0.22414	0.12500	0.22000	0.36667	0.50000	0.27907	0.21875	0.26000	0.21739	0.27027	0.28571	0.40741	0.11017	0.14894	0.18421	0.26316	0.23214	0.17808	0.29545	0.23077	0.38710	0.28125	0.37500	0.19355	0.46429	0.18841	0.19512	0.12281	0.19512	0.25532	0.23913	0.25000	0.17073	0.10569	0.08333	0.35135	0.25714	0.32500	0.24242	0.36667	0.21053	0.26667	0.15556	0.20690	0.22500	0.26087	0.41379	0.33333	0.20690	0.21053	0.23636	0.21818	0.11538	0.22581	0.28571	0.26531	0.13333	0.21875	0.21429	0.36667	0.41379	0.31429	0.15294	0.26923	0.40000	0.13115	0.22917	0.25000	0.19355	0.29730	0.18571	0.25000	0.23810	0.27083	0.21667	0.18182	0.28889	0.29167	0.26923	0.08974	0.16901	0.18571	0.21667	0.17391	0.21311	0.37500	0.08824	0.06250	0.26000	0.24000	0.33333	0.09756	0.22857	0.16250	0.16667	0.18841	0.09231	0.23529	0.16438	0.35714	0.25000	0.18919	0.19608	0.27660	0.24242	0.21311	0.25714	0.10714	0.21277	0.19697	0.17647	0.19672	0.20312	0.22222	0.27083	0.22857	0.22222	0.25490	0.09211	0.30303	0.36667	0.39286	0.17808	0.17647	0.16216	0.17391	0.23529	0.17391	0.20339	0.25581	0.29032	0.16901	0.16364	0.28205	0.25000	0.24324	0.17910	0.15789	0.15116	0.22414	0.20370	0.16667	0.12632	0.17910	0.22034	0.24561	0.20635	0.37931	0.23636	0.34375	0.13580	0.13725	0.09353	0.14815	0.04545	0.28889	0.30000	0.24324	0.33333	0.21277	0.17949	0.19231	0.20000	0.25926	0.26829	0.30769	0.29730	0.32258	0.25926	0.17647	0.27027	0.17949	0.08696	0.15584	0.19512	0.27027	0.25000	0.10811	0.10769	0.21212	0.20635	0.45000	0.11712	0.05909	0.30556	0.25806	0.33333	0.31707	0.21429	0.33333	0.32353	0.09322	0.20312	0.10870	0.25000	0.18056	0.23529	0.42308	0.37931	0.25490	0.25806	0.11475	0.22449	0.20339	0.10526	0.04762	0.16049	0.31579	0.28571	0.29730	0.22222	
D00059	0.26667	1.00000	0.33333	0.27660	0.60000	0.29231	0.28000	0.31250	0.31818	0.26667	0.35088	0.24324	0.31034	0.17857	0.22000	0.26667	0.33333	0.20930	0.25000	0.36000	0.30000	0.27027	0.26667	0.33333	0.19492	0.23404	0.26316	0.33333	0.32143	0.21918	0.25000	0.33333	0.29032	0.21875	0.34375	0.32258	0.26667	0.28986	0.26829	0.26316	0.43902	0.23404	0.30435	0.30769	0.41463	0.18699	0.20238	0.29730	0.22857	0.25000	0.30303	0.16667	0.28947	0.30000	0.42222	0.26667	0.27500	0.32609	0.16667	0.40000	0.25862	0.29825	0.21818	0.25455	0.43333	0.32258	0.30000	0.28571	0.23333	0.12500	0.25000	0.30000	0.23333	0.25714	0.28235	0.30000	0.13333	0.18033	0.29167	0.31250	0.29032	0.45946	0.25714	0.18750	0.45238	0.27083	0.28333	0.40909	0.28889	0.20833	0.23077	0.25641	0.32394	0.30000	0.25000	0.30435	0.26230	0.28125	0.16912	0.16964	0.24000	0.30000	0.16667	0.19512	0.25714	0.23750	0.40476	0.23188	0.26154	0.35294	0.23288	0.50000	0.46667	0.37838	0.45098	0.19149	0.27273	0.19672	0.20000	0.50000	0.29787	0.24242	0.20588	0.24590	0.15625	0.22222	0.25000	0.17143	0.20370	0.31373	0.27632	0.27273	0.33333	0.36667	0.21918	0.32353	0.20270	0.18841	0.23529	0.32609	0.32203	0.30233	0.19355	0.28169	0.25455	0.25641	0.45000	0.24324	0.29851	0.30263	0.23256	0.37931	0.37037	0.24359	0.24211	0.32836	0.25424	0.31579	0.31746	0.33333	0.36364	0.40625	0.17284	0.13725	0.16547	0.26667	0.33333	0.20000	0.47500	0.24324	0.33333	0.31915	0.20513	0.30769	0.28333	0.40000	0.56098	0.25641	0.40541	0.29032	0.23333	0.33824	0.35135	0.38462	0.27536	0.27273	0.29268	0.29730	0.33333	0.21622	0.27692	0.27273	0.26984	0.26667	0.17117	0.13182	0.30556	0.19355	0.26667	0.31707	0.33929	0.21212	0.41176	0.20339	0.37500	0.41304	0.23333	0.27778	0.39216	0.23333	0.36667	0.25490	0.25806	0.24590	0.38776	0.30508	0.26316	0.26667	0.19753	0.21053	0.28571	0.21622	0.22222	
D00079	0.11667	0.33333	1.00000	0.41667	0.30000	0.78462	0.33333	0.40000	0.21667	0.11667	0.95000	0.10000	0.18333	0.31667	0.11667	0.26667	0.21667	0.18333	0.15000	0.20000	0.16667	0.16667	0.23333	0.15000	0.28814	0.41667	0.21667	0.26667	0.23333	0.50685	0.20000	0.18333	0.25000	0.18333	0.21667	0.32258	0.18333	0.14493	0.26667	0.81667	0.30000	0.20000	0.35000	0.23333	0.30000	0.28455	0.40476	0.21667	0.18333	0.33333	0.15000	0.21667	0.16667	0.13333	0.40000	0.33333	0.16667	0.21667	0.20000	0.23333	0.13333	0.18333	0.08333	0.16667	0.28333	0.33333	0.18333	0.28333	0.15000	0.23333	0.13333	0.15000	0.25000	0.30000	0.31765	0.18333	0.21667	0.24590	0.15000	0.18333	0.11290	0.26667	0.28571	0.20000	0.26667	0.21667	0.21667	0.31667	0.25000	0.18333	0.26667	0.71795	0.21127	0.21429	0.16667	0.21739	0.31148	0.23333	0.24265	0.35714	0.21667	0.13333	0.25000	0.34959	0.16667	0.36250	0.33333	0.27536	0.43077	0.23333	0.32877	0.30000	0.23333	0.26667	0.30000	0.18333	0.33333	0.19672	0.18333	0.33333	0.23333	0.12121	0.10294	0.09836	0.25000	0.18333	0.20000	0.16667	0.21667	0.13333	0.76316	0.15000	0.28333	0.25000	0.13699	0.28333	0.29730	0.20290	0.15000	0.25000	0.15000	0.23333	0.11667	0.36620	0.13333	0.20000	0.26667	0.16667	0.38806	0.36842	0.47674	0.25000	0.23333	0.25641	0.40000	0.22388	0.28333	0.20000	0.25397	0.25000	0.30000	0.30000	0.18519	0.28333	0.26619	0.35000	0.30000	0.23333	0.36667	0.18333	0.28333	0.28333	0.16667	0.20000	0.33333	0.26667	0.35000	0.20000	0.28333	0.18333	0.16667	0.41176	0.25000	0.21667	0.72464	0.41558	0.33333	0.26667	0.26667	0.37838	0.80000	0.22727	0.12698	0.18333	0.20721	0.25455	0.30000	0.25000	0.18333	0.20000	0.18333	0.18333	0.26667	0.38983	0.25000	0.50000	0.25000	0.19444	0.38333	0.18333	0.26667	0.36667	0.15000	0.29508	0.28333	0.18333	0.33333	0.35000	0.17284	0.23333	0.21667	0.28333	0.30000	
D00094	0.10638	0.27660	0.41667	1.00000	0.23404	0.41538	0.22000	0.22917	0.21277	0.08511	0.36842	0.17021	0.20690	0.25000	0.16000	0.34043	0.21277	0.17021	0.19149	0.22000	0.19149	0.19149	0.25532	0.19149	0.21186	0.25532	0.34043	0.29787	0.30357	0.28767	0.23404	0.17021	0.25532	0.25532	0.23404	0.30645	0.19149	0.27536	0.25532	0.35088	0.38298	0.21277	0.27660	0.38462	0.38298	0.27642	0.30952	0.23404	0.21277	0.31915	0.17021	0.23404	0.19149	0.19149	0.23404	0.42553	0.19149	0.21277	0.21277	0.19149	0.20690	0.26316	0.12727	0.20000	0.31915	0.27660	0.21277	0.26531	0.19149	0.23404	0.21429	0.19149	0.27660	0.31915	0.30588	0.21277	0.21277	0.31148	0.20833	0.18750	0.17742	0.27660	0.32857	0.14583	0.25532	0.25000	0.31667	0.36170	0.21277	0.14583	0.23077	0.35897	0.32394	0.25714	0.20000	0.31884	0.27869	0.27660	0.24265	0.21429	0.16000	0.12766	0.38298	0.22764	0.19149	0.26250	0.21277	0.28986	0.29231	0.25490	0.24658	0.25532	0.25532	0.31915	0.33333	0.23404	0.34043	0.22951	0.23404	0.36170	0.19149	0.19697	0.14706	0.16393	0.25000	0.29787	0.14583	0.23404	0.35185	0.17647	0.35526	0.21277	0.19149	0.31915	0.20548	0.31915	0.28378	0.24638	0.19608	0.27660	0.18644	0.19149	0.17021	0.28169	0.18182	0.25532	0.29787	0.23404	0.34328	0.31579	0.30233	0.27586	0.16667	0.29487	0.28421	0.29851	0.25424	0.21053	0.33333	0.34043	0.29091	0.29787	0.24691	0.27451	0.25180	0.36170	0.29787	0.25532	0.38298	0.19149	0.38298	0.38298	0.23404	0.34615	0.26667	0.29787	0.21277	0.25532	0.38298	0.23404	0.21277	0.33824	0.19149	0.27660	0.40580	0.32468	0.23404	0.27660	0.22917	0.24324	0.35385	0.39394	0.20635	0.12766	0.16216	0.17727	0.31915	0.27660	0.21277	0.21277	0.19643	0.27660	0.31915	0.23729	0.28125	0.27660	0.17021	0.20833	0.33333	0.19149	0.34043	0.25490	0.17021	0.24590	0.34694	0.22034	0.28070	0.44681	0.19753	0.27660	0.29787	0.21277	0.25532	
D00095	0.40000	0.60000	0.30000	0.23404	1.00000	0.26154	0.28000	0.33333	0.38636	0.28000	0.31579	0.32432	0.34483	0.17857	0.28000	0.50000	0.48000	0.30233	0.40625	0.36000	0.20000	0.35135	0.25000	0.44444	0.19492	0.29787	0.31579	0.32000	0.30357	0.24658	0.29545	0.30769	0.41935	0.34375	0.34375	0.24194	0.50000	0.24638	0.34146	0.24561	0.29268	0.31915	0.41304	0.30769	0.26829	0.16260	0.17857	0.37838	0.37143	0.30000	0.27273	0.43333	0.34211	0.26667	0.35556	0.31034	0.32500	0.32609	0.41379	0.43333	0.27586	0.28070	0.25455	0.30909	0.23077	0.35484	0.42857	0.26531	0.24000	0.31250	0.28571	0.43333	0.41379	0.45714	0.27059	0.19231	0.36667	0.19672	0.29167	0.33333	0.27419	0.54054	0.25714	0.20833	0.45238	0.33333	0.35000	0.29545	0.33333	0.27083	0.30769	0.20513	0.29577	0.25714	0.23333	0.28986	0.31148	0.53125	0.15441	0.14286	0.32000	0.16000	0.25000	0.17073	0.37143	0.26250	0.38095	0.24638	0.21538	0.31373	0.23288	0.89286	0.39286	0.27027	0.41176	0.23404	0.27273	0.29508	0.34286	0.39286	0.29787	0.24242	0.25000	0.24590	0.23438	0.31111	0.33333	0.31429	0.27778	0.33333	0.23684	0.39394	0.50000	0.71429	0.24658	0.35294	0.22973	0.21739	0.21569	0.28261	0.32203	0.34884	0.35484	0.30986	0.27273	0.23077	0.37500	0.29730	0.28358	0.26316	0.22093	0.29310	0.35185	0.24359	0.23158	0.31343	0.28814	0.29825	0.25397	0.68966	0.45455	0.78125	0.17284	0.13725	0.14388	0.22222	0.36000	0.33333	0.35000	0.37838	0.48485	0.36170	0.25641	0.36538	0.30000	0.29630	0.46341	0.30769	0.48649	0.41935	0.25926	0.27941	0.59459	0.30769	0.24638	0.25974	0.36585	0.37838	0.37500	0.18919	0.27692	0.30303	0.26984	0.48000	0.15315	0.11364	0.44444	0.25806	0.43333	0.39024	0.33929	0.39394	0.55882	0.16102	0.35938	0.32609	0.32143	0.29167	0.31373	0.26923	0.72414	0.35294	0.35484	0.24590	0.32653	0.25424	0.26316	0.28000	0.22222	0.21053	0.30952	0.37838	0.22222	
D00106	0.09231	0.29231	0.78462	0.41538	0.26154	1.00000	0.36923	0.36923	0.23077	0.10769	0.76923	0.10769	0.21538	0.38462	0.13846	0.24615	0.20000	0.20000	0.18462	0.20000	0.13846	0.20000	0.23077	0.15385	0.27119	0.40000	0.20000	0.23077	0.20000	0.52055	0.23077	0.16923	0.20000	0.20000	0.18462	0.29231	0.15385	0.14493	0.26154	0.64615	0.29231	0.20000	0.36923	0.27692	0.29231	0.29268	0.39286	0.21538	0.20000	0.27692	0.18462	0.20000	0.18462	0.16923	0.36923	0.26154	0.18462	0.23077	0.21538	0.23077	0.16923	0.20000	0.07692	0.20000	0.27692	0.33846	0.15385	0.23077	0.13846	0.24615	0.18462	0.13846	0.20000	0.27692	0.30588	0.15385	0.18462	0.24615	0.16923	0.21538	0.13846	0.24615	0.27143	0.18462	0.29231	0.24615	0.26154	0.30769	0.24615	0.16923	0.26154	0.65385	0.19718	0.17143	0.13846	0.18841	0.26154	0.21538	0.24265	0.39286	0.24615	0.10769	0.24615	0.33333	0.20000	0.32500	0.29231	0.18841	0.40000	0.21538	0.36986	0.26154	0.21538	0.26154	0.32308	0.20000	0.27692	0.24615	0.18462	0.30769	0.20000	0.06061	0.07353	0.12308	0.23077	0.20000	0.20000	0.16923	0.20000	0.15385	0.69737	0.13846	0.26154	0.23077	0.12329	0.24615	0.32432	0.21739	0.20000	0.24615	0.18462	0.24615	0.12308	0.32394	0.16923	0.18462	0.23077	0.16923	0.43284	0.36842	0.48837	0.23077	0.21538	0.20513	0.37895	0.19403	0.30769	0.23077	0.21538	0.23077	0.35385	0.29231	0.18519	0.23077	0.27338	0.33846	0.27692	0.23077	0.32308	0.20000	0.27692	0.27692	0.15385	0.21538	0.43077	0.24615	0.32308	0.20000	0.27692	0.16923	0.15385	0.36765	0.27692	0.26154	0.92754	0.45455	0.33846	0.24615	0.24615	0.36036	0.61538	0.18182	0.10769	0.16923	0.19820	0.25455	0.27692	0.24615	0.16923	0.18462	0.18462	0.16923	0.23077	0.41525	0.21538	0.49231	0.21538	0.16667	0.33846	0.15385	0.24615	0.33846	0.13846	0.33846	0.27692	0.24615	0.33846	0.32308	0.18519	0.21538	0.24615	0.27692	0.24615	
D00110	0.26000	0.28000	0.33333	0.22000	0.28000	0.36923	1.00000	0.52000	0.26000	0.22000	0.29825	0.20000	0.17241	0.39286	0.18000	0.32000	0.30000	0.26000	0.24000	0.30000	0.16000	0.28000	0.22000	0.32000	0.34746	0.32000	0.26000	0.22000	0.25000	0.46575	0.34000	0.24000	0.34000	0.32000	0.36000	0.17742	0.28000	0.28986	0.42000	0.36842	0.18000	0.26000	0.28000	0.25000	0.18000	0.22764	0.39286	0.32000	0.20000	0.36000	0.22000	0.30000	0.18000	0.26000	0.30000	0.30000	0.20000	0.34000	0.26000	0.38000	0.29310	0.38596	0.18182	0.23636	0.24000	0.36000	0.24000	0.28000	0.14000	0.28000	0.21429	0.28000	0.36000	0.26000	0.31765	0.18000	0.26000	0.24590	0.30000	0.30000	0.27419	0.20000	0.30000	0.28000	0.34000	0.32000	0.46667	0.16000	0.24000	0.32000	0.23077	0.30769	0.28169	0.37143	0.26667	0.27536	0.42623	0.30000	0.22059	0.31250	0.36000	0.18000	0.40000	0.30894	0.24000	0.26250	0.44000	0.33333	0.30769	0.13725	0.46575	0.30000	0.24000	0.22000	0.27451	0.32000	0.30000	0.42623	0.26000	0.30000	0.26000	0.25758	0.20588	0.29508	0.34375	0.30000	0.24000	0.32000	0.37037	0.37255	0.32895	0.32000	0.48000	0.26000	0.30137	0.22000	0.36486	0.24638	0.21569	0.22000	0.42373	0.20000	0.28000	0.36620	0.18182	0.28000	0.26000	0.28000	0.49254	0.38158	0.45349	0.31034	0.42593	0.32051	0.33684	0.28358	0.49153	0.29825	0.36508	0.26000	0.34545	0.32000	0.24691	0.25490	0.21583	0.36000	0.30000	0.38000	0.30000	0.20000	0.32000	0.28000	0.22000	0.23077	0.45000	0.28000	0.34000	0.28000	0.34000	0.34000	0.26000	0.36765	0.36000	0.20000	0.37681	0.42857	0.26000	0.30000	0.14000	0.30631	0.33846	0.36364	0.26984	0.36000	0.21622	0.20909	0.24000	0.20000	0.30000	0.38000	0.42857	0.38000	0.24000	0.27966	0.32812	0.36000	0.28000	0.26389	0.23529	0.26000	0.28000	0.39216	0.24000	0.29508	0.14000	0.15254	0.35088	0.26000	0.27160	0.34000	0.32000	0.24000	0.20000	
D00113	0.27083	0.31250	0.40000	0.22917	0.33333	0.36923	0.52000	1.00000	0.31250	0.18750	0.42105	0.25000	0.22414	0.33929	0.24000	0.31250	0.31250	0.20833	0.27083	0.28000	0.18750	0.35417	0.25000	0.33333	0.40678	0.33333	0.25000	0.27083	0.30357	0.42466	0.27083	0.33333	0.39583	0.31250	0.47917	0.16129	0.29167	0.34783	0.35417	0.35088	0.22917	0.25000	0.27083	0.17308	0.22917	0.21138	0.34524	0.27083	0.27083	0.41667	0.16667	0.33333	0.25000	0.16667	0.27083	0.35417	0.20833	0.27083	0.22917	0.33333	0.34483	0.31579	0.16364	0.23636	0.31250	0.41667	0.31250	0.42857	0.18750	0.29167	0.28571	0.33333	0.37500	0.31250	0.31765	0.20833	0.29167	0.26230	0.27083	0.18750	0.27419	0.25000	0.25714	0.29167	0.27083	0.27083	0.36667	0.18750	0.22917	0.16667	0.17308	0.26923	0.29577	0.24286	0.31667	0.28986	0.55738	0.29167	0.22794	0.28571	0.36000	0.25000	0.41667	0.25203	0.27083	0.30000	0.41667	0.27536	0.40000	0.13725	0.35616	0.33333	0.27083	0.20833	0.23529	0.35417	0.31250	0.36066	0.29167	0.35417	0.22917	0.27273	0.22059	0.26230	0.34375	0.33333	0.20833	0.35417	0.31481	0.29412	0.30263	0.33333	0.50000	0.29167	0.26027	0.29167	0.28378	0.24638	0.31373	0.20833	0.40678	0.25000	0.27083	0.40845	0.25455	0.29167	0.16667	0.20833	0.40299	0.32895	0.36047	0.37931	0.46296	0.29487	0.31579	0.26866	0.77966	0.35088	0.30159	0.31250	0.40000	0.37500	0.25926	0.19608	0.20144	0.35417	0.35417	0.29167	0.22917	0.29167	0.35417	0.33333	0.25000	0.26923	0.40000	0.31250	0.39583	0.27083	0.31250	0.35417	0.27083	0.39706	0.35417	0.22917	0.34783	0.36364	0.33333	0.35417	0.22917	0.27928	0.38462	0.37879	0.20635	0.39583	0.20721	0.20909	0.29167	0.20833	0.37500	0.29167	0.39286	0.37500	0.25000	0.26271	0.32812	0.43750	0.27083	0.31944	0.25490	0.20833	0.31250	0.49020	0.22917	0.39344	0.20408	0.11864	0.43860	0.27083	0.22222	0.35417	0.22917	0.25000	0.18750	
D00136	0.29545	0.31818	0.21667	0.21277	0.38636	0.23077	0.26000	0.31250	1.00000	0.31818	0.22807	0.36364	0.29310	0.28571	0.46000	0.43182	0.47727	0.34091	0.54545	0.60000	0.25000	0.47727	0.27273	0.52273	0.27966	0.27660	0.20455	0.29545	0.32143	0.26027	0.43182	0.22727	0.52273	0.52273	0.43182	0.27419	0.52273	0.33333	0.31818	0.24561	0.27273	0.40426	0.32609	0.28846	0.25000	0.27642	0.23810	0.36364	0.52273	0.52273	0.38636	0.43182	0.45455	0.36364	0.26667	0.31818	0.45455	0.39130	0.38636	0.36364	0.34483	0.33333	0.36364	0.43636	0.20455	0.22727	0.29545	0.38776	0.25000	0.25000	0.44643	0.47727	0.50000	0.45455	0.35294	0.27273	0.40909	0.26230	0.29167	0.35417	0.32258	0.52273	0.37143	0.27083	0.43182	0.39583	0.45000	0.25000	0.33333	0.29167	0.38462	0.21795	0.43662	0.35714	0.26667	0.40580	0.29508	0.47727	0.27206	0.21429	0.36000	0.27273	0.47727	0.21951	0.54545	0.28750	0.22727	0.37681	0.24615	0.37255	0.31507	0.38636	0.34091	0.29545	0.25490	0.29787	0.29545	0.36066	0.47727	0.20455	0.34043	0.39394	0.38235	0.29508	0.31250	0.31111	0.45833	0.45455	0.33333	0.54902	0.21053	0.47727	0.34091	0.45455	0.39726	0.29545	0.33784	0.24638	0.35294	0.26087	0.42373	0.20455	0.40909	0.42254	0.38182	0.29545	0.27273	0.45455	0.26866	0.27632	0.26744	0.37931	0.38889	0.39744	0.25263	0.44776	0.28814	0.31579	0.34921	0.47727	0.36364	0.36364	0.37037	0.19608	0.25899	0.20455	0.25000	0.37778	0.36364	0.59091	0.43182	0.29787	0.25000	0.38462	0.33333	0.34091	0.47727	0.34091	0.47727	0.47727	0.29545	0.27941	0.43182	0.40909	0.23188	0.23377	0.31818	0.31818	0.35417	0.22523	0.24615	0.46970	0.47619	0.29545	0.24324	0.15455	0.45455	0.25000	0.54545	0.38636	0.44643	0.56818	0.50000	0.18644	0.43750	0.21739	0.22727	0.41667	0.37255	0.34091	0.45455	0.37255	0.40909	0.22951	0.34694	0.32203	0.24561	0.25000	0.39506	0.34091	0.31818	0.40909	0.25000	
D00139	0.28000	0.26667	0.11667	0.08511	0.28000	0.10769	0.22000	0.18750	0.31818	1.00000	0.12281	0.45946	0.32759	0.12500	0.36000	0.33333	0.32000	0.37209	0.56250	0.34000	0.32000	0.32432	0.14286	0.29630	0.15254	0.19149	0.23684	0.08000	0.30357	0.10959	0.31818	0.42308	0.25806	0.37500	0.31250	0.24194	0.25000	0.30435	0.36585	0.12281	0.17073	0.29787	0.28261	0.23077	0.14634	0.16260	0.14286	0.29730	0.40000	0.12500	0.42424	0.26667	0.34211	0.46667	0.24444	0.20690	0.35000	0.28261	0.27586	0.36667	0.22414	0.22807	0.32727	0.23636	0.03846	0.25806	0.42857	0.14286	0.08000	0.15625	0.26786	0.30000	0.27586	0.25714	0.17647	0.23077	0.23333	0.14754	0.35417	0.35417	0.33871	0.35135	0.21429	0.22917	0.30952	0.20833	0.23333	0.18182	0.24444	0.39583	0.21154	0.08974	0.19718	0.25714	0.31667	0.20290	0.16393	0.25000	0.15441	0.07143	0.22000	0.28000	0.16667	0.12195	0.51429	0.12500	0.26190	0.17391	0.12308	0.19608	0.17808	0.28571	0.32143	0.24324	0.29412	0.21277	0.15152	0.18033	0.34286	0.10714	0.34043	0.28788	0.23529	0.26230	0.18750	0.28889	0.29167	0.37143	0.27778	0.33333	0.09211	0.30303	0.13333	0.28571	0.24658	0.23529	0.17568	0.15942	0.27451	0.34783	0.25424	0.30233	0.29032	0.18310	0.30909	0.25641	0.45000	0.29730	0.17910	0.14474	0.10465	0.25862	0.27778	0.19231	0.11579	0.20896	0.16949	0.21053	0.25397	0.27586	0.16364	0.25000	0.22222	0.09804	0.14388	0.07407	0.16000	0.17778	0.22500	0.48649	0.27273	0.23404	0.33333	0.28846	0.21667	0.29630	0.31707	0.35897	0.29730	0.29032	0.48148	0.14706	0.37838	0.38462	0.10145	0.15584	0.21951	0.35135	0.35417	0.12613	0.10769	0.22727	0.31746	0.28000	0.18018	0.09545	0.25000	0.12903	0.26667	0.31707	0.26786	0.27273	0.38235	0.12712	0.21875	0.15217	0.42857	0.26389	0.29412	0.15385	0.27586	0.17647	0.32258	0.18033	0.40816	0.23729	0.22807	0.16000	0.24691	0.23684	0.28571	0.35135	0.38889	
