data	D00035	D00110	D00136	D00195	D00219	D00225	D00227	D00228	D00234	D00252	D00274	D00283	D00293	D00294	D00303	D00319	D00326	D00329	D00331	D00332	D00335	D00336	D00338	D00340	D00345	D00349	D00351	D00354	D00358	D00364	D00367	D00373	D00379	D00380	D00392	D00394	D00418	D00437	D00438	D00451	D00456	D00464	D00474	D00477	D00480	D00495	D00499	D00504	D00512	D00513	D00519	D00521	D00524	D00528	D00530	D00533	D00536	D00537	D00538	D00539	D00542	D00543	D00544	D00545	D00546	D00547	D00548	D00549	D00550	D00552	D00553	D00560	D00563	D00574	D00593	D00594	D00607	D00611	D00615	D00616	D00617	D00618	D00619	D00629	D00631	D00633	D00636	D00638	D00639	D00640	D00642	D00647	D00648	D00649	D00650	D00651	D00654	D00656	D00658	D00677	D00678	D00694	D00697	D00704	D00708	D00709	D00711	D00726	D00732	D00733	D00735	D00738	D00739	D00740	D00741	D00759	D00760	D00761	D00765	D00771	D00775	D00779	D00791	D00798	D00799	D00809	D00812	D00816	D00823	D00831	D00960	D00963	D00964	D01071	D01108	D01111	D01118	D01242	D01243	D01253	D01256	D01275	D01287	D01295	D01350	D01448	D01450	D01453	D01575	D01599	D01603	D01712	D01768	D01799	D01828	D01854	D01969	D02041	D02086	D02087	D02088	D02092	D02098	D02101	D02163	D02173	D02204	D02207	D02234	D02237	D02253	D02261	D02262	D02272	D02347	D02356	D02360	D02362	D02409	D02461	D02485	D02546	D02566	D02630	D02914	D03037	D03180	D03274	D03365	D03450	D03580	D03742	D03826	D03830	D03878	D03991	D04034	D04048	D04370	D04790	D04985	D04999	D05024	D05077	D05156	D05453	D05458	D05461	D06106	D06172	
D00035	1.00000	0.36472	0.29735	0.30217	0.34188	0.23200	0.23298	0.29178	0.22189	0.39874	0.26474	0.27060	0.27805	0.32223	0.27605	0.29422	0.27077	0.27605	0.29178	0.46034	0.27092	0.26516	0.28203	0.31278	0.26489	0.28409	0.25247	0.28754	0.39959	0.32842	0.31278	0.26391	0.36454	0.36312	0.51027	0.33041	0.41068	0.26947	0.23272	0.36711	0.25652	0.29969	0.42706	0.36142	0.25641	0.41942	0.33680	0.52144	0.34297	0.31217	0.34203	0.22400	0.37212	0.32223	0.27046	0.36312	0.41238	0.26194	0.40058	0.40486	0.42788	0.40406	0.41200	0.42275	0.38513	0.36650	0.44184	0.43652	0.22670	0.47601	0.35456	0.20194	0.32659	0.41068	0.22403	0.32838	0.24644	0.35721	0.23009	0.28370	0.22438	0.24852	0.21804	0.25588	0.29735	0.29602	0.24674	0.26998	0.35314	0.30921	0.20867	0.25774	0.17083	0.36418	0.24434	0.27257	0.28525	0.24204	0.30070	0.30820	0.27046	0.25414	0.34035	0.44454	0.44291	0.34106	0.33302	0.35273	0.34008	0.35322	0.34297	0.32659	0.35040	0.36142	0.31705	0.12755	0.11865	0.16904	0.18006	0.36518	0.27151	0.33678	0.21512	0.26429	0.20822	0.29969	0.28754	0.30279	0.25130	0.25374	0.28832	0.28156	0.29711	0.42396	0.22670	0.29752	0.26391	0.23473	0.31719	0.25743	0.28490	0.19676	0.32851	0.23179	0.07177	0.20412	0.32512	0.32659	0.20845	0.33886	0.24168	0.28695	0.31278	0.37320	0.23475	0.17631	0.21536	0.27441	0.36142	0.28159	0.37212	0.25455	0.32133	0.15104	0.24748	0.29146	0.27046	0.16599	0.17401	0.28875	0.22339	0.30114	0.16895	0.17368	0.27902	0.22826	0.30356	0.35338	0.26593	0.22585	0.20835	0.38660	0.27097	0.19425	0.24415	0.21692	0.34773	0.25093	0.45681	0.24296	0.15647	0.34333	0.19659	0.23446	0.31126	0.35667	0.16967	0.33946	0.32591	0.27618	0.31694	0.45350	0.24025	0.29995	0.22330	0.34008	0.43898	0.13775	0.34008	0.41666	
D00110	0.46097	1.00000	0.44870	0.54855	0.45871	0.40268	0.37324	0.38240	0.40728	0.48468	0.46457	0.45982	0.49467	0.39898	0.46989	0.48637	0.46810	0.54123	0.43525	0.38099	0.37919	0.43069	0.52494	0.46810	0.38811	0.44095	0.47958	0.34392	0.45211	0.50894	0.43582	0.41297	0.37212	0.49067	0.39017	0.47839	0.34392	0.45456	0.41392	0.48838	0.55180	0.40525	0.50925	0.50096	0.38766	0.41355	0.45811	0.46358	0.46239	0.42954	0.41297	0.51768	0.40926	0.41326	0.38729	0.54781	0.53981	0.45755	0.43383	0.39327	0.31586	0.33814	0.34642	0.36670	0.35042	0.35842	0.56866	0.39927	0.40468	0.38756	0.49615	0.40519	0.43872	0.50096	0.40922	0.47482	0.41543	0.43583	0.47285	0.46354	0.41035	0.44243	0.41207	0.44386	0.46686	0.35442	0.35789	0.41207	0.41555	0.47418	0.42819	0.37885	0.33957	0.42353	0.43494	0.42490	0.46581	0.39129	0.44332	0.53614	0.59064	0.37901	0.55098	0.36471	0.50725	0.46240	0.52553	0.46410	0.49785	0.50067	0.42325	0.49585	0.44582	0.51524	0.44782	0.26812	0.27344	0.33182	0.36775	0.36099	0.36441	0.53980	0.37906	0.40468	0.35015	0.46610	0.44383	0.46011	0.45982	0.43004	0.45153	0.46226	0.41497	0.45900	0.37240	0.58537	0.44153	0.45055	0.51643	0.37212	0.40336	0.41087	0.55270	0.47581	0.16583	0.37977	0.50585	0.42782	0.38594	0.38529	0.37093	0.40047	0.41815	0.38440	0.45153	0.36405	0.41644	0.63738	0.45811	0.37679	0.42355	0.46154	0.41615	0.30741	0.42242	0.42706	0.40868	0.33967	0.36451	0.44530	0.40088	0.47689	0.34858	0.34724	0.34312	0.42034	0.51474	0.52200	0.40653	0.44246	0.39839	0.57195	0.49067	0.39139	0.48231	0.42589	0.47039	0.41730	0.48297	0.42025	0.31989	0.56277	0.40480	0.38133	0.51988	0.39439	0.38646	0.55470	0.52297	0.49966	0.45782	0.56638	0.41366	0.43442	0.41210	0.51924	0.41984	0.29564	0.44782	0.43183	
D00136	0.38909	0.43318	1.00000	0.35411	0.42283	0.51340	0.43356	0.46183	0.56891	0.51735	0.63338	0.59464	0.50440	0.50112	0.57372	0.44441	0.55855	0.56565	0.50996	0.44005	0.45810	0.46016	0.55521	0.49851	0.46455	0.44139	0.45213	0.48716	0.56957	0.54580	0.71759	0.44787	0.42997	0.62962	0.40986	0.62382	0.38161	0.43598	0.41324	0.50926	0.48808	0.55301	0.53288	0.57216	0.53255	0.45660	0.46286	0.49329	0.62609	0.52769	0.48455	0.45946	0.39103	0.46050	0.52846	0.51609	0.52315	0.39041	0.45141	0.43356	0.39851	0.42382	0.41278	0.39136	0.38909	0.46310	0.57670	0.46016	0.53190	0.50075	0.50984	0.53088	0.59489	0.60462	0.46516	0.50537	0.40204	0.48192	0.42801	0.39633	0.40674	0.42541	0.48804	0.43275	0.52141	0.47056	0.46101	0.42957	0.49134	0.59455	0.34003	0.49234	0.40376	0.48455	0.41188	0.42831	0.46354	0.44369	0.43798	0.44089	0.45538	0.47494	0.47563	0.37286	0.51794	0.38657	0.51901	0.58329	0.56872	0.54359	0.53255	0.53005	0.54197	0.58839	0.52801	0.24406	0.30750	0.34074	0.28065	0.43778	0.43745	0.60851	0.48005	0.47091	0.48374	0.63810	0.59655	0.61505	0.59849	0.47660	0.48784	0.39033	0.51122	0.47185	0.33713	0.43202	0.57781	0.41963	0.50465	0.47059	0.40595	0.30364	0.50533	0.45087	0.12770	0.37632	0.50079	0.44890	0.40637	0.42056	0.36888	0.39736	0.51859	0.40340	0.47152	0.28699	0.50545	0.46341	0.59655	0.46737	0.54911	0.63818	0.51632	0.23987	0.42372	0.39102	0.39036	0.32965	0.43226	0.39084	0.39489	0.37831	0.27926	0.28776	0.41248	0.51383	0.52298	0.43780	0.47330	0.41515	0.53207	0.42157	0.59293	0.68498	0.46708	0.51494	0.48489	0.54895	0.44232	0.45364	0.24563	0.39884	0.36048	0.38530	0.45949	0.43117	0.47923	0.51576	0.45188	0.35624	0.46243	0.53288	0.43853	0.46113	0.33290	0.56478	0.46730	0.32759	0.43503	0.53029	
D00195	0.41006	0.56697	0.39357	1.00000	0.38687	0.37542	0.36900	0.40665	0.42165	0.33016	0.39148	0.37542	0.39915	0.34226	0.39019	0.39866	0.35243	0.37808	0.33669	0.35123	0.39671	0.42586	0.37639	0.32822	0.36937	0.40813	0.42486	0.34396	0.38099	0.39357	0.37664	0.39624	0.41004	0.37155	0.32241	0.36695	0.39238	0.37081	0.39993	0.36961	0.41706	0.36284	0.35678	0.37397	0.34443	0.33041	0.38027	0.33041	0.35073	0.39818	0.31179	0.39152	0.36308	0.37228	0.35049	0.34734	0.35267	0.43651	0.29917	0.33743	0.27182	0.29070	0.30353	0.29070	0.27691	0.30789	0.39576	0.34860	0.38921	0.32702	0.36381	0.38367	0.35145	0.38027	0.38295	0.48051	0.39454	0.37958	0.44272	0.47222	0.36846	0.36724	0.47882	0.38198	0.42387	0.32878	0.35708	0.40010	0.36211	0.37570	0.44536	0.37527	0.31620	0.37833	0.33889	0.34591	0.33838	0.34757	0.34346	0.45222	0.42311	0.35708	0.37469	0.33113	0.34929	0.38971	0.38297	0.36121	0.38946	0.41032	0.37507	0.41226	0.35789	0.37397	0.35343	0.29323	0.28839	0.45417	0.40101	0.32798	0.34929	0.39213	0.34058	0.40160	0.33726	0.36892	0.33766	0.36356	0.35149	0.36744	0.36839	0.54687	0.38002	0.39285	0.37131	0.51011	0.38413	0.37119	0.38099	0.39213	0.35193	0.45977	0.44833	0.36511	0.18371	0.34831	0.43885	0.40617	0.36159	0.41512	0.34156	0.39188	0.37062	0.40834	0.39288	0.36311	0.47349	0.49544	0.39818	0.34761	0.36889	0.42538	0.39320	0.42777	0.38310	0.69431	0.39890	0.37588	0.35321	0.39339	0.38854	0.47278	0.43484	0.42731	0.31247	0.47345	0.40985	0.52503	0.34660	0.42676	0.36894	0.50089	0.37155	0.34341	0.42162	0.38305	0.37858	0.41706	0.37083	0.37715	0.44707	0.61387	0.41773	0.37514	0.45554	0.46551	0.34887	0.48025	0.45316	0.47944	0.41634	0.36889	0.41342	0.36065	0.43098	0.37764	0.31733	0.27975	0.38366	0.35170	
D00219	0.42726	0.42766	0.40871	0.33687	1.00000	0.38546	0.38521	0.48509	0.32050	0.47010	0.47639	0.36771	0.53616	0.59508	0.43536	0.42951	0.58334	0.49483	0.51554	0.50118	0.76223	0.71866	0.48873	0.52978	0.46557	0.43584	0.38559	0.43689	0.42940	0.45671	0.37806	0.46086	0.85150	0.51330	0.45011	0.35512	0.56187	0.41922	0.44246	0.45698	0.42903	0.49157	0.51867	0.41904	0.43801	0.50617	0.57085	0.47047	0.44689	0.40118	0.48759	0.47914	0.41154	0.52366	0.45493	0.53116	0.50331	0.40312	0.42440	0.46297	0.36620	0.42976	0.39976	0.39405	0.39155	0.41940	0.49478	0.52403	0.37908	0.44695	0.43975	0.34045	0.36797	0.45484	0.61703	0.37433	0.45555	0.44475	0.45588	0.46862	0.43970	0.49174	0.41754	0.42344	0.43987	0.46797	0.48285	0.57336	0.36584	0.44800	0.30228	0.47589	0.32215	0.41617	0.48285	0.48136	0.49130	0.46110	0.57542	0.40620	0.36632	0.35690	0.53512	0.42726	0.48046	0.42440	0.39619	0.45336	0.44189	0.49019	0.66123	0.43939	0.47510	0.43689	0.58482	0.23752	0.25776	0.26842	0.26680	0.39082	0.46261	0.45438	0.40556	0.46835	0.40076	0.32191	0.34772	0.32348	0.51064	0.36015	0.47335	0.38531	0.50804	0.59879	0.35225	0.41922	0.33588	0.35018	0.42940	0.47223	0.54835	0.29606	0.40332	0.48764	0.13236	0.35464	0.38944	0.51081	0.33633	0.77880	0.32869	0.35524	0.56558	0.86253	0.55374	0.30202	0.40341	0.36515	0.41904	0.52796	0.42940	0.45806	0.61665	0.22225	0.35758	0.38481	0.38408	0.27228	0.31813	0.49686	0.40055	0.42154	0.26846	0.27660	0.57049	0.37802	0.36768	0.40943	0.46733	0.40358	0.38869	0.41608	0.35262	0.39477	0.42940	0.37405	0.59508	0.44212	0.32513	0.46022	0.23090	0.37570	0.33203	0.40513	0.36428	0.66975	0.37080	0.38796	0.41497	0.38538	0.57048	0.43837	0.34262	0.56239	0.33071	0.44189	0.38906	0.30235	0.54911	0.43975	
D00225	0.31172	0.36232	0.48870	0.32279	0.37382	1.00000	0.37761	0.51906	0.52662	0.51245	0.46948	0.53686	0.47775	0.49314	0.45959	0.42907	0.49026	0.48505	0.43765	0.36190	0.45134	0.41605	0.46065	0.41284	0.44817	0.41281	0.38942	0.55375	0.50704	0.50493	0.64457	0.50256	0.37964	0.46275	0.39433	0.54255	0.38004	0.39076	0.36105	0.43076	0.57426	0.69007	0.46844	0.49585	0.50665	0.39703	0.38004	0.43563	0.50686	0.51515	0.38664	0.37478	0.35263	0.53175	0.50787	0.51095	0.47114	0.33085	0.44374	0.35032	0.36152	0.33372	0.38353	0.37233	0.33102	0.36113	0.49165	0.49354	0.95570	0.48814	0.47964	0.42881	0.59506	0.49585	0.37876	0.42826	0.26739	0.38853	0.30900	0.36502	0.34975	0.36547	0.42139	0.39709	0.47924	0.49084	0.42223	0.35814	0.49624	0.49826	0.24095	0.40942	0.25556	0.51205	0.44687	0.39110	0.35606	0.39149	0.36658	0.42663	0.43646	0.53786	0.45211	0.36963	0.47544	0.36653	0.47114	0.51365	0.48195	0.45685	0.47775	0.51785	0.45035	0.49585	0.48195	0.20041	0.23390	0.28575	0.19147	0.52404	0.48504	0.40865	0.48690	0.49530	0.49087	0.54525	0.57305	0.58546	0.49836	0.35917	0.40953	0.31422	0.50360	0.41014	0.29791	0.34956	0.53135	0.39035	0.48774	0.45685	0.35386	0.27412	0.43076	0.42759	0.09086	0.32683	0.48315	0.47925	0.36848	0.37351	0.31759	0.38309	0.42255	0.38664	0.47207	0.21848	0.40700	0.37743	0.51515	0.44929	0.50704	0.45260	0.41984	0.19604	0.40088	0.41761	0.32026	0.27258	0.33892	0.28580	0.27047	0.30809	0.23154	0.23841	0.41945	0.44570	0.51596	0.39970	0.43197	0.30386	0.42739	0.33184	0.61717	0.41857	0.30182	0.45258	0.37733	0.41809	0.43293	0.29190	0.20489	0.40849	0.26596	0.31752	0.37644	0.44303	0.37008	0.42023	0.45191	0.25987	0.37964	0.46844	0.37507	0.42230	0.23438	0.44334	0.42483	0.25237	0.38544	0.49894	
D00227	0.34004	0.39198	0.47103	0.36637	0.43339	0.43114	1.00000	0.40135	0.43511	0.45578	0.48436	0.44008	0.45805	0.45257	0.46438	0.44837	0.44715	0.45207	0.46242	0.36639	0.44034	0.43320	0.42893	0.46612	0.49246	0.47032	0.42885	0.46981	0.42450	0.43089	0.42918	0.40307	0.40486	0.46095	0.42327	0.43484	0.39594	0.42624	0.41972	0.49569	0.46119	0.47671	0.46144	0.42967	0.44596	0.45282	0.43287	0.42179	0.42745	0.46661	0.44321	0.45037	0.40927	0.50132	0.48556	0.46095	0.41712	0.36670	0.42426	0.41072	0.31025	0.32945	0.33339	0.32945	0.32773	0.35925	0.43931	0.42499	0.43286	0.41244	0.42254	0.41184	0.42819	0.47892	0.42490	0.41783	0.33777	0.37352	0.40639	0.39655	0.42017	0.41029	0.45603	0.42528	0.43409	0.40505	0.47085	0.36991	0.39298	0.43114	0.36285	0.52594	0.32443	0.45553	0.41541	0.47793	0.42720	0.44886	0.42006	0.41382	0.45802	0.47704	0.47646	0.34915	0.45972	0.42105	0.41391	0.44715	0.43312	0.48188	0.39962	0.43139	0.41908	0.42967	0.42080	0.26318	0.31802	0.37542	0.29670	0.36467	0.41367	0.40800	0.39542	0.41443	0.41368	0.43656	0.42063	0.41908	0.43114	0.39179	0.46100	0.40213	0.45725	0.43955	0.38682	0.44176	0.45232	0.60394	0.41219	0.51860	0.44099	0.34824	0.43441	0.43582	0.15861	0.38527	0.43090	0.53310	0.42803	0.42227	0.34871	0.67864	0.40135	0.42770	0.49788	0.31216	0.42976	0.45153	0.41736	0.39025	0.41219	0.49101	0.39962	0.26044	0.37350	0.38913	0.43339	0.35893	0.37208	0.35996	0.46435	0.40262	0.30643	0.31585	0.39518	0.43855	0.45041	0.40775	0.54652	0.38539	0.41529	0.43244	0.41736	0.47533	0.40118	0.45829	0.43115	0.45835	0.37402	0.38456	0.27080	0.40282	0.36050	0.36742	0.39863	0.46094	0.46891	0.43001	0.43000	0.38464	0.46956	0.42450	0.40982	0.41910	0.38539	0.40849	0.38437	0.32254	0.42401	0.41022	
D00228	0.36483	0.33272	0.43007	0.34613	0.46181	0.50647	0.33978	1.00000	0.46846	0.46780	0.43271	0.40025	0.50350	0.45724	0.33934	0.33681	0.47499	0.45828	0.42713	0.40978	0.43020	0.42789	0.45129	0.43298	0.40638	0.32431	0.34270	0.41817	0.37790	0.38208	0.46353	0.82947	0.49985	0.44505	0.41272	0.41654	0.44974	0.34857	0.31337	0.55467	0.41948	0.41960	0.43036	0.41817	0.45093	0.41566	0.37616	0.41566	0.36691	0.37628	0.44178	0.38333	0.37700	0.47825	0.40824	0.47662	0.41229	0.31809	0.35102	0.36483	0.31400	0.34677	0.35895	0.36777	0.34383	0.33458	0.48706	0.49968	0.53153	0.49380	0.36908	0.35137	0.46312	0.41817	0.37793	0.40238	0.30684	0.40641	0.35688	0.42521	0.36408	0.33321	0.42213	0.33123	0.38875	0.45473	0.48788	0.35720	0.40815	0.51607	0.28217	0.42482	0.25504	0.33976	0.43883	0.41970	0.40824	0.38588	0.44007	0.37557	0.37845	0.34080	0.42610	0.36483	0.44842	0.36146	0.34928	0.38509	0.36115	0.45042	0.56652	0.41066	0.63116	0.41817	0.50818	0.20875	0.22940	0.26794	0.19574	0.46986	0.51144	0.38983	0.41724	0.78520	0.43271	0.41948	0.48130	0.47368	0.51607	0.38333	0.40824	0.31337	0.49985	0.38792	0.29656	0.32111	0.38057	0.33679	0.39891	0.45020	0.45694	0.28881	0.41956	0.45362	0.09529	0.27263	0.37893	0.43167	0.39691	0.50959	0.33470	0.32780	0.54857	0.50311	0.49761	0.23341	0.39559	0.35002	0.40773	0.65954	0.39891	0.41606	0.54563	0.20610	0.33312	0.43087	0.35468	0.24994	0.33828	0.35481	0.27967	0.44193	0.25766	0.26542	0.43271	0.43098	0.41512	0.44007	0.37015	0.29475	0.35262	0.31404	0.46606	0.37193	0.30649	0.34974	0.39423	0.40594	0.39172	0.33136	0.21524	0.52629	0.29492	0.31688	0.34798	0.46181	0.33961	0.37957	0.36720	0.29306	0.36098	0.40935	0.33961	0.68502	0.24227	0.42405	0.40390	0.23536	0.36103	0.41109	
D00234	0.31814	0.40728	0.58443	0.40323	0.35154	0.56698	0.41637	0.51813	1.00000	0.48468	0.50016	0.57408	0.48039	0.42754	0.58408	0.45124	0.48957	0.49127	0.46381	0.33814	0.43316	0.50087	0.45353	0.39676	0.47389	0.46952	0.51572	0.44383	0.47358	0.54522	0.62150	0.52013	0.41497	0.49067	0.35442	0.56409	0.38669	0.43400	0.41543	0.45271	0.50895	0.50531	0.43783	0.50096	0.52324	0.37070	0.38669	0.39927	0.51952	0.50096	0.39868	0.49885	0.35213	0.45611	0.48010	0.45500	0.42554	0.36233	0.41955	0.36471	0.30158	0.33814	0.33214	0.36670	0.35042	0.37270	0.46211	0.39927	0.58326	0.42384	0.43901	0.60289	0.58866	0.50096	0.42653	0.51949	0.38619	0.43583	0.40798	0.42636	0.41153	0.41737	0.57920	0.41845	0.55579	0.42584	0.44206	0.37950	0.42273	0.54552	0.31801	0.48166	0.36121	0.43782	0.41398	0.37479	0.39439	0.44132	0.36472	0.44303	0.44781	0.49096	0.45169	0.32186	0.42155	0.37670	0.45411	0.49267	0.47639	0.48470	0.43754	0.46729	0.47439	0.48668	0.44782	0.29458	0.34757	0.38036	0.27018	0.40384	0.43583	0.52552	0.57832	0.48328	0.54317	0.56609	0.54381	0.56009	0.53841	0.50508	0.47299	0.34518	0.49356	0.36612	0.30098	0.41343	0.57727	0.44480	0.44501	0.48638	0.36761	0.33586	0.48128	0.51889	0.12220	0.43079	0.48785	0.42782	0.40792	0.44953	0.42257	0.42186	0.43954	0.41297	0.45871	0.29939	0.59638	0.42563	0.47957	0.45539	0.44501	0.48092	0.42325	0.26101	0.51418	0.43409	0.35154	0.34765	0.46149	0.33327	0.35622	0.40070	0.30321	0.31253	0.39308	0.61261	0.47899	0.48609	0.40653	0.37799	0.50921	0.39667	0.57637	0.49108	0.38035	0.52227	0.38469	0.46523	0.41155	0.38569	0.27279	0.48409	0.36440	0.37761	0.44722	0.47123	0.47074	0.47956	0.45131	0.34660	0.41497	0.45211	0.52034	0.43511	0.30157	0.47639	0.40556	0.32625	0.37641	0.43901	
D00252	0.45419	0.41637	0.47304	0.24859	0.42353	0.47468	0.37548	0.44040	0.43881	1.00000	0.43065	0.58977	0.50159	0.43915	0.43518	0.42579	0.52352	0.59186	0.54347	0.38124	0.35411	0.33678	0.57947	0.51386	0.38799	0.42424	0.36191	0.38792	0.49556	0.57451	0.54543	0.42870	0.30848	0.47610	0.38385	0.75614	0.30179	0.38780	0.33511	0.48356	0.52851	0.52851	0.48274	0.41852	0.59355	0.33737	0.37554	0.64344	0.62224	0.53568	0.52046	0.36900	0.35521	0.41336	0.52912	0.88315	0.61384	0.24496	0.65415	0.35216	0.36696	0.35573	0.33839	0.35573	0.35216	0.34093	0.59525	0.56692	0.48179	0.48340	0.49754	0.39820	0.55360	0.40057	0.35981	0.41330	0.30566	0.39602	0.35532	0.32828	0.34757	0.35647	0.32936	0.36832	0.43650	0.48019	0.40184	0.33589	0.49397	0.57593	0.21303	0.35262	0.24351	0.44297	0.42281	0.50683	0.44138	0.41264	0.44594	0.38780	0.47709	0.43689	0.53065	0.40318	0.51545	0.32257	0.46699	0.49943	0.42799	0.46718	0.44194	0.42939	0.44743	0.41852	0.44544	0.17783	0.20268	0.21789	0.16459	0.47969	0.44098	0.46729	0.37407	0.42062	0.36923	0.69088	0.78194	0.73309	0.48439	0.31888	0.42353	0.24144	0.47715	0.45189	0.23747	0.34660	0.62260	0.39371	0.48274	0.45647	0.41756	0.20923	0.43608	0.43133	0.08348	0.28065	0.43884	0.41165	0.36614	0.32373	0.34641	0.41201	0.40884	0.31641	0.45036	0.22769	0.32122	0.35908	0.43076	0.44614	0.48274	0.42900	0.40954	0.18995	0.34315	0.30210	0.26284	0.22607	0.34318	0.30357	0.23900	0.27888	0.21365	0.21990	0.39902	0.34070	0.49506	0.35464	0.44215	0.30129	0.40011	0.31307	0.55964	0.36786	0.31637	0.33984	0.38786	0.40479	0.48019	0.28991	0.19714	0.27734	0.24710	0.29851	0.40153	0.45036	0.34768	0.44421	0.40995	0.24609	0.32831	0.54658	0.35802	0.47324	0.22201	0.45702	0.52714	0.21891	0.35329	0.54855	
