data	D00040	D00066	D00067	D00075	D00088	D00094	D00105	D00129	D00143	D00163	D00182	D00187	D00188	D00211	D00246	D00279	D00299	D00312	D00316	D00327	D00348	D00443	D00462	D00506	D00554	D00565	D00577	D00585	D00586	D00596	D00627	D00690	D00730	D00898	D00930	D00950	D00951	D00954	D00956	D00961	D00962	D00965	D01115	D01132	D01161	D01217	D01294	D01387	D01441	D01689	D02217	D02367	D04066	D05341	
D00040	1.00000	0.85087	0.66648	0.73294	0.72539	0.62032	0.68145	0.72429	0.90464	0.84274	0.70501	0.75200	0.81103	0.61933	0.73147	0.53792	0.76174	0.67681	0.61546	0.73113	0.62032	0.73816	0.79835	0.52979	0.68271	0.59316	0.54449	0.68600	0.57617	0.60098	0.58649	0.69559	0.51384	0.54574	0.72680	0.70473	0.71304	0.70473	0.69358	0.58930	0.60192	0.58656	0.72399	0.57263	0.70768	0.83110	0.74583	0.75465	0.59431	0.71654	0.58930	0.72603	0.69056	0.54302	
D00066	0.84720	1.00000	0.73889	0.85007	0.82284	0.63508	0.75743	0.71329	0.93626	0.77448	0.80702	0.72022	0.73367	0.57821	0.74722	0.57641	0.72253	0.71191	0.66050	0.82234	0.63508	0.71359	0.86310	0.56635	0.72576	0.61590	0.56287	0.75911	0.59487	0.63534	0.58851	0.68733	0.53938	0.57164	0.70412	0.82537	0.70550	0.82537	0.74549	0.63280	0.62600	0.61242	0.69809	0.59770	0.66824	0.97216	0.77595	0.74152	0.61056	0.82640	0.61835	0.76689	0.73204	0.57550	
D00067	0.65963	0.73526	1.00000	0.83723	0.76445	0.63075	0.93777	0.66342	0.71450	0.65241	0.81623	0.65337	0.68193	0.54489	0.64687	0.59325	0.63529	0.79765	0.62630	0.72268	0.63075	0.63017	0.75332	0.58967	0.90767	0.61569	0.63080	0.66716	0.63471	0.61614	0.60247	0.62313	0.58300	0.64186	0.64606	0.80368	0.66874	0.80368	0.75943	0.61614	0.58083	0.62252	0.62786	0.62008	0.62901	0.73772	0.69338	0.60728	0.58879	0.66658	0.65327	0.78267	0.81200	0.58300	
D00075	0.72853	0.84946	0.84041	1.00000	0.85952	0.65142	0.89514	0.70519	0.79471	0.70895	0.92404	0.69779	0.73343	0.58680	0.73515	0.56214	0.70469	0.71987	0.63260	0.83459	0.65142	0.68250	0.84585	0.57433	0.83421	0.59602	0.57068	0.73061	0.60428	0.60618	0.57645	0.70180	0.53843	0.57231	0.70393	0.90982	0.72444	0.90982	0.86143	0.61643	0.59718	0.62271	0.66006	0.59209	0.67631	0.84673	0.69988	0.68218	0.57916	0.74309	0.59899	0.83561	0.85626	0.58395	
D00088	0.72441	0.82568	0.77064	0.86313	1.00000	0.64817	0.77811	0.74919	0.76797	0.71857	0.88107	0.72308	0.74494	0.61532	0.80034	0.54502	0.71062	0.71602	0.62891	0.81418	0.64817	0.71413	0.77679	0.54875	0.81235	0.58479	0.56424	0.75002	0.59764	0.60533	0.58391	0.71664	0.52579	0.56556	0.73707	0.86756	0.77320	0.86756	0.82679	0.62378	0.58819	0.61258	0.70379	0.57545	0.70902	0.81714	0.70572	0.72696	0.57985	0.81397	0.60533	0.84910	0.73450	0.52555	
D00094	0.61273	0.63023	0.62961	0.64729	0.64120	1.00000	0.62558	0.64570	0.61574	0.58760	0.63817	0.64494	0.65530	0.54768	0.60622	0.60516	0.63810	0.60021	0.69340	0.62628	0.99032	0.61290	0.62770	0.61104	0.63270	0.64212	0.62574	0.61961	0.62990	0.63462	0.58752	0.59142	0.56521	0.65059	0.64586	0.63431	0.61370	0.63431	0.60748	0.62384	0.61136	0.64851	0.60147	0.64339	0.59881	0.61920	0.60439	0.59050	0.58232	0.60766	0.59708	0.63677	0.61668	0.59388	
D00105	0.67558	0.75500	0.93919	0.89323	0.77295	0.62805	1.00000	0.67937	0.73306	0.66671	0.84279	0.64616	0.67357	0.55861	0.66397	0.57942	0.66988	0.75006	0.60166	0.75077	0.62805	0.64307	0.77307	0.57611	0.93697	0.62845	0.62263	0.67554	0.62624	0.61919	0.61262	0.63837	0.56994	0.63286	0.66605	0.82982	0.68017	0.82982	0.79209	0.61401	0.58933	0.62439	0.63643	0.60426	0.63592	0.75657	0.67305	0.62267	0.59117	0.67390	0.62998	0.80881	0.86001	0.56994	
D00129	0.72429	0.71696	0.67027	0.70959	0.75017	0.65329	0.68524	1.00000	0.71032	0.76270	0.72835	0.82481	0.86939	0.62803	0.70112	0.54959	0.82728	0.65992	0.65631	0.76205	0.65329	0.69562	0.72863	0.55313	0.70984	0.59520	0.56199	0.67403	0.59368	0.61265	0.59816	0.67440	0.51384	0.56908	0.90700	0.71845	0.71468	0.71845	0.70730	0.61265	0.62936	0.60785	0.68909	0.57846	0.70742	0.71848	0.69101	0.70163	0.59052	0.71042	0.58552	0.73683	0.68851	0.55469	
D00143	0.90195	0.93740	0.71905	0.79641	0.76616	0.62144	0.73648	0.70763	1.00000	0.80447	0.75306	0.72439	0.74510	0.59381	0.72564	0.55948	0.72650	0.70356	0.64534	0.76709	0.62144	0.73192	0.84228	0.55002	0.71958	0.59661	0.55354	0.71650	0.58363	0.61930	0.58206	0.66810	0.52466	0.56179	0.70457	0.76798	0.69932	0.76798	0.69138	0.60571	0.62835	0.60013	0.71013	0.58629	0.66340	0.91438	0.79890	0.72505	0.61513	0.77763	0.59212	0.73807	0.71502	0.56542	
D00163	0.84471	0.77799	0.66053	0.71487	0.72142	0.59637	0.67395	0.76467	0.80711	1.00000	0.70186	0.69983	0.70824	0.65068	0.72546	0.53480	0.69783	0.68448	0.60955	0.76374	0.59637	0.70279	0.81538	0.53274	0.67507	0.57046	0.54069	0.71438	0.57956	0.58794	0.57312	0.70668	0.50275	0.54704	0.70649	0.69299	0.72709	0.69299	0.70052	0.58610	0.60264	0.58364	0.70995	0.57115	0.70148	0.76550	0.77311	0.75244	0.61152	0.72717	0.58087	0.70606	0.69414	0.53414	
D00182	0.70158	0.80761	0.82041	0.92523	0.87849	0.64324	0.84577	0.72493	0.75249	0.69682	1.00000	0.70565	0.74255	0.59950	0.75731	0.55953	0.69050	0.69635	0.63981	0.84345	0.64324	0.70083	0.80406	0.56385	0.90170	0.59129	0.58176	0.76147	0.59904	0.60082	0.58317	0.72605	0.53730	0.58329	0.70250	0.98462	0.75232	0.98462	0.89803	0.61043	0.59338	0.61631	0.68174	0.57588	0.68998	0.81077	0.70400	0.68847	0.59401	0.76099	0.59408	0.91041	0.81585	0.57286	
D00187	0.75248	0.72427	0.65981	0.70184	0.72451	0.65281	0.65165	0.82458	0.72749	0.69830	0.70875	1.00000	0.91841	0.61553	0.72636	0.54033	0.95458	0.68343	0.63300	0.73440	0.65850	0.72023	0.71489	0.53809	0.66994	0.60556	0.56949	0.69210	0.57762	0.61888	0.58768	0.67167	0.50547	0.57840	0.81647	0.72634	0.70050	0.72634	0.66976	0.60181	0.62179	0.58775	0.71109	0.57416	0.69438	0.71438	0.74015	0.73504	0.61238	0.68789	0.60181	0.73772	0.67178	0.55099	
D00188	0.80883	0.73533	0.68719	0.73592	0.74365	0.66139	0.67772	0.86718	0.74566	0.70429	0.74393	0.91578	1.00000	0.58422	0.69374	0.54845	0.87437	0.68832	0.64270	0.75037	0.66798	0.70477	0.72052	0.54586	0.69893	0.61749	0.58226	0.67427	0.59169	0.62633	0.59676	0.65722	0.52124	0.58368	0.81885	0.74165	0.72312	0.74165	0.72282	0.60654	0.62645	0.60343	0.68361	0.58768	0.68361	0.73706	0.73732	0.71910	0.59231	0.70640	0.58675	0.73505	0.67524	0.57401	
D00211	0.62893	0.58963	0.55789	0.59859	0.62541	0.56105	0.57113	0.63763	0.60475	0.65918	0.61081	0.62489	0.59492	1.00000	0.66661	0.48924	0.62841	0.58042	0.55096	0.62277	0.56105	0.65451	0.59935	0.50260	0.58045	0.52930	0.51092	0.60310	0.52854	0.55277	0.54236	0.68122	0.48018	0.51734	0.65829	0.61169	0.65073	0.61169	0.64079	0.54666	0.58803	0.55008	0.66750	0.51808	0.63748	0.59517	0.62389	0.65425	0.56944	0.65047	0.54086	0.60401	0.61319	0.34354	
D00246	0.73401	0.75295	0.65535	0.74151	0.80374	0.61534	0.67161	0.70367	0.73052	0.72610	0.76283	0.72848	0.69819	0.65846	1.00000	0.52655	0.70782	0.67618	0.60962	0.75867	0.61534	0.71696	0.70086	0.52908	0.70304	0.57334	0.54128	0.75949	0.56873	0.58518	0.57768	0.81645	0.50460	0.54742	0.67573	0.76544	0.73169	0.76544	0.73952	0.59201	0.60143	0.58102	0.69234	0.55663	0.68191	0.74593	0.72522	0.70229	0.60469	0.83911	0.57506	0.73907	0.69644	0.45019	
D00279	0.52569	0.56581	0.58485	0.55196	0.53316	0.59745	0.57023	0.53736	0.54837	0.52186	0.54880	0.52792	0.53711	0.47356	0.51383	1.00000	0.52666	0.53711	0.69106	0.55854	0.59745	0.54291	0.56581	0.73769	0.55763	0.75191	0.74745	0.54942	0.62756	0.62450	0.59071	0.53028	0.78663	0.71054	0.53573	0.54632	0.52285	0.54632	0.54942	0.64846	0.60082	0.61981	0.52940	0.72809	0.53596	0.55770	0.52057	0.51805	0.58503	0.53930	0.61652	0.54632	0.54798	0.64032	
